,house id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle
346,3969300030,2879,336.0,768.0,104.0,770.0,87.0,287.0,248.0,279.0
347,4048400070,269,16.0,85.0,2.0,59.0,,29.0,61.0,17.0
348,808000070,8,,5.0,1.0,1.0,,1.0,,
349,7374200030,1,,,,1.0,,,,
350,7325600160,12,1.0,2.0,,8.0,,,1.0,
351,2757000030,0,,,,,,,,
352,616000140,0,,,,,,,,
353,3363900111,1,,1.0,,,,,,
354,9262800171,247,21.0,55.0,6.0,60.0,3.0,45.0,34.0,23.0
355,6607000126,9,2.0,,3.0,,,2.0,,2.0
356,5416510830,55,6.0,20.0,2.0,10.0,,11.0,6.0,
357,2201500030,185,14.0,45.0,1.0,42.0,1.0,25.0,47.0,10.0
358,325059171,20,1.0,9.0,,6.0,1.0,1.0,2.0,
359,952003285,9,1.0,,,3.0,,1.0,1.0,3.0
360,3211290370,124,3.0,48.0,,45.0,,14.0,13.0,1.0
361,1072010350,383,22.0,105.0,4.0,84.0,2.0,47.0,90.0,29.0
362,8856950070,124,15.0,31.0,4.0,35.0,2.0,15.0,15.0,7.0
363,925059078,3,,1.0,,1.0,,,1.0,
364,7855801090,66,8.0,14.0,,17.0,,12.0,12.0,3.0
365,723099065,79,1.0,11.0,1.0,23.0,,11.0,30.0,2.0
366,6116500075,21,2.0,2.0,,4.0,1.0,2.0,3.0,7.0
367,1118500030,63,2.0,16.0,2.0,12.0,2.0,14.0,14.0,1.0
368,424069250,2,,1.0,,1.0,,,,
369,3291800710,24,3.0,7.0,,4.0,,4.0,5.0,1.0
370,6838700060,44,4.0,11.0,,8.0,,8.0,11.0,2.0
371,2231500030,0,,,,,,,,
372,2231500030,0,,,,,,,,
373,7683900200,3,,,,,,1.0,2.0,
374,8155830060,14,3.0,3.0,,3.0,,2.0,3.0,
375,98020310,61,1.0,15.0,4.0,7.0,,6.0,26.0,2.0
376,9423400140,16,3.0,2.0,3.0,1.0,3.0,2.0,2.0,
377,1545804860,46,4.0,14.0,3.0,7.0,,11.0,7.0,
378,2883200160,1,1.0,,,,,,,
379,7132300695,26,5.0,3.0,3.0,3.0,3.0,3.0,,6.0
380,1726059053,369,37.0,59.0,14.0,86.0,3.0,38.0,115.0,17.0
381,624111000,135,3.0,33.0,3.0,43.0,1.0,24.0,24.0,4.0
382,808300310,23,1.0,8.0,,7.0,,4.0,3.0,
383,8563040160,1,,1.0,,,,,,
384,713500030,19,3.0,6.0,,4.0,,2.0,4.0,
385,8651600160,0,,,,,,,,
386,9517200030,107,4.0,37.0,3.0,22.0,,17.0,21.0,3.0
387,2460700700,249,13.0,59.0,3.0,58.0,,39.0,58.0,19.0
388,1223039290,1670,148.0,233.0,70.0,448.0,50.0,260.0,194.0,267.0
389,2890100060,1,,,,,,,1.0,
390,7972600860,1117,122.0,100.0,68.0,326.0,54.0,289.0,77.0,81.0
391,8857320070,1,,1.0,,,,,,
392,4047200695,26,,8.0,,6.0,,4.0,7.0,1.0
393,1653500070,1,,,,,,,1.0,
394,1923000030,0,,,,,,,,
395,3649100320,72,6.0,8.0,3.0,21.0,1.0,17.0,13.0,3.0
396,7375300160,1,,1.0,,,,,,
397,5175800060,164,9.0,43.0,1.0,38.0,1.0,17.0,47.0,8.0
398,1604601375,7,,2.0,2.0,1.0,,1.0,,1.0
399,2473251090,1413,84.0,230.0,42.0,328.0,25.0,340.0,234.0,130.0
400,9126100861,25,4.0,4.0,2.0,5.0,3.0,3.0,,4.0
401,3420069065,39,2.0,14.0,2.0,10.0,1.0,7.0,3.0,
402,6021501685,1,,1.0,,,,,,
403,1151100070,180,15.0,31.0,15.0,54.0,1.0,32.0,25.0,7.0
404,8856950240,128,14.0,36.0,3.0,36.0,2.0,14.0,15.0,8.0
405,9385200055,1,,,,,,,,1.0
406,7821200390,4,,1.0,,2.0,,,1.0,
407,8078520310,10,1.0,1.0,,2.0,,1.0,2.0,3.0
408,1565950030,156,12.0,31.0,14.0,30.0,3.0,20.0,37.0,9.0
409,1560930070,289,12.0,99.0,9.0,63.0,6.0,41.0,42.0,17.0
410,6700400140,190,17.0,42.0,5.0,47.0,3.0,22.0,33.0,21.0
411,2422029094,50,6.0,16.0,3.0,11.0,,9.0,4.0,1.0
412,1774220160,178,6.0,62.0,3.0,48.0,,16.0,38.0,5.0
413,1525200060,60,5.0,7.0,2.0,13.0,3.0,12.0,10.0,8.0
414,1678400105,1155,78.0,396.0,18.0,240.0,15.0,118.0,169.0,121.0
